epoch,object,raoff,decoff,raoff_err,decoff_err
51544.0,1,14.310544443088046,-9.429620806636313,0.01,0.01
51551.4693877551,1,19.01402490809226,-4.043739307770427,0.01,0.01
51558.9387755102,1,23.197402569332148,1.0415794045707276,0.01,0.01
51566.4081632653,1,26.90131789677007,5.818082005686617,0.01,0.01
51573.8775510204,1,30.166303438462826,10.28893992528686,0.01,0.01
51581.3469387755,1,33.030237688594156,14.463617817055724,0.01,0.01
51588.8163265306,1,35.527148279724685,18.35460468427203,0.01,0.01
51596.2857142857,1,37.68677577465152,21.9753624371868,0.01,0.01
51603.7551020408,1,39.534543718584494,25.33905475625275,0.01,0.01
51611.2244897959,1,41.09172661370441,28.4577669735784,0.01,0.01
51618.693877551006,1,42.37569586071411,31.342027720619576,0.01,0.01
51626.1632653061,1,43.40017609747868,34.00050888276114,0.01,0.01
51633.632653061206,1,44.17547481083,36.43982285253054,0.01,0.01
51641.1020408163,1,44.70866536748823,38.6643629672632,0.01,0.01
51648.571428571406,1,45.00371309524229,40.67614978003545,0.01,0.01
51656.0408163265,1,45.0615388868006,42.47465557156899,0.01,0.01
51663.510204081605,1,44.88001713841969,44.05658510818075,0.01,0.01
51670.97959183671,1,44.453905704242665,45.415592835477355,0.01,0.01
51678.448979591805,1,43.77470603874157,46.54191679354709,0.01,0.01
51685.91836734691,1,42.830452367429515,47.4219084523758,0.01,0.01
51693.387755102005,1,41.60543072732842,48.03743512190661,0.01,0.01
51700.85714285711,1,40.07983311253448,48.36512962761364,0.01,0.01
51708.326530612205,1,38.22936110792471,48.37546094994538,0.01,0.01
51715.79591836731,1,36.024810777410686,48.031602765636976,0.01,0.01
51723.26530612241,1,33.43170232155737,47.28808914760143,0.01,0.01
51730.73469387759,1,30.41007428697696,46.089277645047616,0.01,0.01
51738.20408163269,1,26.91465950886401,44.36770706756785,0.01,0.01
51745.673469387795,1,22.895824560386437,42.04257178552101,0.01,0.01
51753.14285714289,1,18.301924167875196,39.01878971338778,0.01,0.01
51760.612244897995,1,13.08414352230201,35.18760250983457,0.01,0.01
51768.08163265309,1,7.205507891498167,30.430431497117915,0.01,0.01
51775.551020408195,1,0.6564747516647346,24.62893133541433,0.01,0.01
51783.02040816329,1,-6.519950969625718,17.685773458487905,0.01,0.01
51790.489795918395,1,-14.191343578694202,9.561966173967877,0.01,0.01
51797.9591836735,1,-22.089145176019127,0.33527353685407213,0.01,0.01
51805.428571428594,1,-29.764847456618014,-9.724076890532034,0.01,0.01
51812.8979591837,1,-36.58000809031579,-20.08497575038242,0.01,0.01
51820.367346938794,1,-41.77564580511913,-29.948225879685058,0.01,0.01
51827.8367346939,1,-44.64788725900338,-38.36322952503467,0.01,0.01
51835.306122448994,1,-44.78200518807108,-44.473759544336566,0.01,0.01
51842.7755102041,1,-42.21368235462665,-47.784220886762284,0.01,0.01
51850.2448979592,1,-37.4043249455977,-48.28450807280741,0.01,0.01
51857.7142857143,1,-31.05232314164401,-46.369174957903006,0.01,0.01
51865.1836734694,1,-23.871008489421808,-42.63661729153041,0.01,0.01
51872.6530612245,1,-16.443126752058284,-37.699144272621034,0.01,0.01
51880.1224489796,1,-9.173888199593192,-32.072328616734666,0.01,0.01
51887.5918367347,1,-2.3081793286131997,-26.14040951447616,0.01,0.01
51895.0612244898,1,4.028344721151658,-20.166079984849013,0.01,0.01
51902.5306122449,1,9.788451726969877,-14.316760164520174,0.01,0.01
51910.0,1,14.971783663489735,-8.691871567442893,0.01,0.01
